,blue,green,red,label
0,36,27,231,0
1,36,84,250,1
2,37,164,255,2
3,22,205,255,3
4,38,223,221,4
5,29,214,148,5
6,0,181,76,6
7,13,156,0,7
8,92,166,0,8
9,184,191,0,9
10,200,136,1,10
11,198,76,0,11
12,180,38,51,12
13,181,22,72,13
14,140,17,57,14
15,38,27,237,0
16,50,100,244,1
17,30,143,247,2
18,36,195,255,3
19,0,242,254,4
20,65,195,132,5
21,73,183,77,6
22,75,169,51,7
23,182,184,10,8
24,205,144,70,9
25,166,87,60,10
26,162,81,90,11
27,157,69,99,12
28,128,33,108,13
29,110,23,73,14
30,37,28,238,0
31,36,103,242,1
32,17,198,248,2
33,28,237,245,3
34,50,210,180,4
35,65,195,132,5
36,73,183,77,6
37,73,170,52,7
38,107,180,34,8
39,182,184,10,9
40,205,144,70,10
41,166,82,56,11
42,162,81,90,12
43,157,69,99,13
44,131,44,70,14
45,35,29,236,0
46,37,104,243,1
47,18,197,248,2
48,28,237,245,3
49,50,210,180,4
50,65,195,132,5
51,73,183,77,6
52,73,169,51,7
53,106,178,34,8
54,182,185,9,9
55,200,144,73,10
56,164,84,55,11
57,162,81,90,12
58,157,69,99,13
59,131,44,70,14
60,32,20,255,0
61,27,83,255,1
62,0,165,254,2
63,8,203,253,3
64,1,225,220,4
65,0,215,110,5
66,0,183,1,6
67,0,153,0,7
68,84,166,0,8
69,185,192,1,9
70,204,139,1,10
71,203,74,1,11
72,185,33,52,12
73,167,12,73,13
74,145,8,62,14
75,24,23,241,0
76,13,103,244,1
77,0,198,250,2
78,0,239,246,3
79,25,212,180,4
80,55,197,130,5
81,67,185,72,6
82,67,170,43,7
83,104,181,16,8
84,183,185,2,9
85,207,143,65,10
86,166,82,54,11
87,164,78,90,12
88,159,65,99,13
89,133,41,70,14
90,37,28,238,0
91,36,103,242,1
92,18,197,248,2
93,28,237,245,3
94,50,210,180,4
95,65,195,132,5
96,77,183,76,6
97,73,169,51,7
98,107,180,34,8
99,182,185,9,9
100,205,144,70,10
101,164,84,55,11
102,162,81,90,12
103,157,69,99,13
104,131,44,70,14
105,46,30,191,0
106,39,43,216,1
107,51,90,229,2
108,31,146,250,3
109,68,179,252,4
110,39,230,221,5
111,62,200,142,6
112,75,192,67,7
113,117,182,43,8
114,160,167,2,9
115,196,160,30,10
116,189,117,29,11
117,145,57,43,12
118,98,34,39,14
119,24,23,241,0
120,13,103,244,1
121,0,198,250,2
122,0,239,246,3
123,25,212,180,4
124,55,197,130,5
125,67,185,72,6
126,67,170,43,7
127,104,181,16,8
128,181,183,0,9
129,207,143,65,10
130,166,82,54,11
131,164,78,90,12
132,159,65,99,13
133,133,41,70,14
134,24,23,241,0
135,13,103,244,1
136,0,198,250,2
137,0,239,246,3
138,25,212,180,4
139,55,197,130,5
140,67,185,72,6
141,67,170,43,7
142,104,181,16,8
143,182,184,0,9
144,207,143,65,10
145,166,82,54,11
146,164,78,90,12
147,159,65,99,13
148,133,41,70,14
149,58,0,219,0
150,38,78,227,1
151,20,161,236,2
152,0,235,251,3
153,0,218,181,4
154,1,189,123,5
155,1,179,60,6
156,0,159,0,7
157,92,169,1,8
158,185,185,1,9
159,202,133,0,10
160,223,79,0,11
161,196,58,40,12
162,189,46,79,13
163,143,32,64,14
164,24,23,241,0
165,13,103,244,1
166,0,198,250,2
167,0,239,246,3
168,25,212,180,4
169,55,197,130,5
170,67,185,72,6
171,67,170,43,7
172,104,181,16,8
173,182,184,0,9
174,207,143,65,10
175,166,82,54,11
176,164,78,90,12
177,159,65,99,13
178,133,41,70,14
179,26,0,224,0
180,1,76,222,1
181,0,123,219,2
182,0,209,249,3
183,0,250,245,4
184,0,253,183,5
185,21,224,143,6
186,34,214,19,7
187,206,206,0,8
188,251,148,15,9
189,248,91,17,10
190,244,54,19,11
191,241,20,58,12
192,200,1,63,13
193,173,0,62,14
194,23,39,135,0
195,24,38,168,1
196,30,27,213,2
197,33,32,228,3
198,29,126,240,4
199,6,192,240,5
200,30,203,173,6
201,73,183,77,7
202,59,137,0,8
203,182,184,10,9
204,205,144,70,10
205,166,103,82,11
206,146,47,55,12
207,118,17,25,13
208,70,16,29,14
209,36,27,231,0
210,36,84,250,1
211,37,164,255,2
212,21,203,255,3
213,38,223,221,4
214,29,214,148,5
215,0,181,76,6
216,13,156,0,7
217,90,166,1,8
218,184,190,1,9
219,198,136,0,10
220,198,76,0,11
221,180,37,52,12
222,181,22,72,13
223,140,17,57,14
224,42,44,98,0
225,46,63,150,1
226,43,44,184,2
227,28,37,218,3
228,40,82,219,4
229,25,120,230,5
230,0,193,232,6
231,0,245,255,7
232,124,220,184,8
233,39,195,131,9
234,70,143,70,10
235,107,145,69,11
236,194,124,1,12
237,122,70,33,13
238,111,22,41,14
239,1,0,103,0
240,0,0,154,1
241,1,0,204,2
242,0,51,255,3
243,0,102,255,4
244,0,153,254,5
245,0,204,255,6
246,1,255,255,7
247,0,255,204,8
248,0,204,102,9
249,52,205,0,10
250,102,153,1,11
251,153,101,0,12
252,204,51,0,13
253,154,0,1,14
254,24,23,241,0
255,13,103,244,1
256,0,196,250,2
257,0,239,246,3
258,25,212,180,4
259,55,197,130,5
260,67,185,72,6
261,67,170,43,7
262,104,181,16,8
263,182,184,0,9
264,207,143,65,10
265,166,82,54,11
266,164,78,90,12
267,159,65,99,13
268,133,41,70,14
269,0,0,170,1
270,0,0,254,2
271,0,85,255,3
272,1,170,255,4
273,102,255,255,5
274,1,255,170,6
275,1,170,0,7
276,255,168,0,8
277,212,0,0,9
278,254,0,255,10
279,141,0,212,11
280,109,42,109,12
281,85,0,85,13
282,84,0,55,14
283,28,34,241,0
284,7,106,244,1
285,1,201,248,2
286,0,238,245,3
287,2,212,182,4
288,39,197,131,5
289,61,183,75,6
290,63,169,46,7
291,101,181,28,8
292,181,186,0,9
293,209,143,65,10
294,168,81,55,11
295,167,80,90,12
296,160,68,97,13
297,136,40,70,14
298,0,38,255,1
299,0,124,255,2
300,1,170,255,3
301,0,211,255,4
302,1,252,255,5
303,119,251,211,6
304,0,250,141,7
305,0,211,168,8
306,121,184,98,9
307,146,146,0,10
308,168,167,99,11
309,209,126,58,12
310,198,68,179,13
311,142,43,111,14
312,16,0,208,0
313,0,69,206,1
314,0,110,205,2
315,0,187,232,3
316,0,223,228,4
317,0,226,171,5
318,14,201,132,6
319,21,191,18,7
320,131,182,0,8
321,160,132,14,9
322,157,81,15,10
323,156,47,19,11
324,153,19,55,12
325,128,0,59,13
326,110,0,58,14
327,0,0,154,0
328,1,0,204,1
329,2,0,254,2
330,0,85,254,3
331,1,170,255,4
332,1,255,255,5
333,0,230,153,6
334,0,204,51,7
335,22,174,45,8
336,45,147,36,9
337,66,117,29,10
338,87,87,23,11
339,110,59,16,12
340,132,30,8,13
341,156,0,1,14
342,28,34,241,0
343,7,106,244,1
344,1,199,251,2
345,0,239,244,3
346,0,213,180,4
347,40,196,132,5
348,61,184,74,6
349,63,169,46,7
350,101,182,26,8
351,181,186,0,9
352,205,143,65,10
353,168,81,55,11
354,166,80,90,12
355,160,68,97,13
356,134,41,70,14
357,63,0,237,0
358,42,83,239,1
359,19,169,247,2
360,0,238,253,3
361,1,230,191,4
362,1,203,126,5
363,0,182,62,6
364,0,153,0,7
365,94,173,0,8
366,190,190,0,9
367,202,133,0,10
368,221,80,0,11
369,210,63,43,12
370,199,47,83,13
371,157,35,73,14
372,57,1,208,0
373,40,83,240,1
374,20,162,245,2
375,0,236,252,3
376,0,222,184,4
377,1,207,128,5
378,0,173,59,6
379,0,159,0,7
380,93,171,0,8
381,191,191,1,9
382,201,132,0,10
383,221,80,0,11
384,207,62,41,12
385,201,49,85,13
386,132,30,58,14
387,59,1,213,0
388,39,79,228,1
389,19,156,232,2
390,0,201,217,3
391,1,215,179,4
392,0,197,121,5
393,0,180,65,6
394,0,156,2,7
395,88,164,0,8
396,190,189,1,9
397,204,133,19,10
398,213,77,0,11
399,214,63,43,12
400,201,49,85,13
401,157,35,71,14
402,65,0,239,0
403,43,85,244,1
404,21,170,250,2
405,0,240,255,3
406,0,231,192,4
407,1,207,128,5
408,0,184,64,6
409,0,160,0,7
410,96,175,0,8
411,192,193,0,9
412,209,137,0,10
413,223,80,0,11
414,213,65,43,12
415,203,48,85,13
416,160,36,72,14
417,65,0,239,0
418,43,83,239,1
419,21,170,250,2
420,0,210,224,3
421,0,231,192,4
422,0,199,122,5
423,0,184,64,6
424,1,161,1,7
425,96,175,0,8
426,192,193,0,9
427,209,137,0,10
428,223,80,0,11
429,213,65,43,12
430,203,48,85,13
431,160,36,72,14
432,32,28,231,0
433,42,111,250,1
434,17,197,249,2
435,25,235,247,3
436,50,213,182,4
437,65,192,136,5
438,73,182,80,6
439,69,167,55,7
440,107,180,34,8
441,176,184,7,9
442,206,144,73,10
443,165,84,57,11
444,162,80,85,12
445,158,68,98,13
446,131,44,70,14
447,38,27,237,0
448,36,103,242,1
449,18,197,248,2
450,28,237,245,3
451,50,210,180,4
452,65,195,132,5
453,72,182,76,6
454,73,169,51,7
455,107,180,34,8
456,182,185,9,9
457,205,144,70,10
458,165,85,56,11
459,162,81,90,12
460,121,56,82,13
461,117,33,62,14
462,57,53,189,1
463,22,91,230,2
464,1,151,239,3
465,0,241,250,4
466,30,201,149,5
467,59,182,84,6
468,59,148,52,7
469,48,107,33,8
470,157,170,62,9
471,230,171,72,10
472,207,143,72,11
473,150,37,97,12
474,122,18,71,13
475,78,0,31,14
476,73,69,194,1
477,23,93,230,2
478,0,152,240,3
479,0,241,250,4
480,37,202,151,5
481,58,184,84,6
482,58,148,52,7
483,47,105,34,8
484,157,170,62,9
485,230,171,72,10
486,204,139,65,11
487,175,88,132,12
488,122,18,71,13
489,114,52,82,14
490,42,39,184,1
491,20,92,230,2
492,1,150,240,3
493,1,240,249,4
494,28,201,149,5
495,56,182,82,6
496,58,148,52,7
497,47,105,34,8
498,157,170,62,9
499,230,171,72,10
500,188,108,37,11
501,150,37,97,12
502,122,18,71,13
503,78,0,31,14
504,37,28,238,0
505,36,103,242,1
506,17,198,248,2
507,28,237,245,3
508,51,211,181,4
509,65,195,132,5
510,73,183,77,6
511,75,169,51,7
512,107,180,34,8
513,182,184,10,9
514,205,144,70,10
515,164,83,56,11
516,160,80,87,12
517,157,69,99,13
518,131,44,70,14
519,24,23,241,0
520,13,103,244,1
521,0,198,250,2
522,0,239,246,3
523,25,212,180,4
524,55,197,130,5
525,67,185,72,6
526,67,170,43,7
527,104,181,16,8
528,182,184,0,9
529,207,143,65,10
530,166,82,54,11
531,164,78,90,12
532,159,65,99,13
533,133,41,70,14
534,38,27,237,0
535,36,103,242,1
536,18,197,248,2
537,28,237,245,3
538,50,210,180,4
539,65,195,132,5
540,73,183,77,6
541,73,169,51,7
542,107,180,34,8
543,182,185,9,9
544,205,144,70,10
545,165,85,56,11
546,162,81,90,12
547,121,56,82,13
548,117,33,62,14
549,37,27,234,0
550,36,103,242,1
551,18,197,248,2
552,28,237,245,3
553,50,210,180,4
554,65,195,132,5
555,73,183,77,6
556,73,170,50,7
557,107,180,34,8
558,182,184,10,9
559,200,141,69,10
560,164,84,55,11
561,162,81,90,12
562,121,56,82,13
563,118,34,63,14
564,1,0,174,1
565,0,0,224,2
566,1,2,254,3
567,1,125,255,4
568,68,205,254,5
569,1,240,255,6
570,102,222,204,7
571,0,200,169,8
572,1,170,0,9
573,78,150,0,10
574,238,225,157,11
575,213,176,12,12
576,240,60,71,13
577,239,11,110,14
578,36,28,235,0
579,34,104,241,1
580,58,141,246,2
581,51,190,253,3
582,65,242,255,4
583,48,219,203,5
584,77,193,123,6
585,110,179,5,7
586,206,170,0,8
587,185,116,73,9
588,156,71,49,10
589,150,61,94,11
590,146,49,129,12
591,165,92,148,13
592,168,102,184,14
593,38,27,237,0
594,36,103,242,1
595,18,191,241,2
596,28,237,245,3
597,50,210,180,4
598,65,195,132,5
599,72,182,76,6
600,73,169,51,7
601,107,180,34,8
602,182,185,9,9
603,204,142,71,10
604,165,85,56,11
605,162,81,90,12
606,121,56,82,13
607,117,33,62,14
608,68,65,198,0
609,49,105,206,1
610,37,176,225,2
611,35,240,248,3
612,30,228,204,4
613,22,203,159,5
614,17,179,121,6
615,12,149,93,7
616,97,171,107,8
617,192,186,119,9
618,209,132,86,10
619,221,79,56,11
620,211,65,60,12
621,202,52,81,13
622,159,41,66,14
623,15,0,192,0
624,26,100,194,1
625,37,161,225,2
626,12,192,244,3
627,19,227,192,4
628,10,199,137,5
629,12,173,117,6
630,9,146,95,7
631,98,157,96,8
632,180,175,96,9
633,206,128,85,10
634,209,64,56,11
635,170,63,59,12
636,184,48,74,13
637,146,31,71,14
638,3,0,199,0
639,1,79,232,1
640,26,139,255,2
641,2,197,255,3
642,0,230,177,4
643,1,204,87,5
644,0,171,43,6
645,1,150,40,7
646,97,164,1,8
647,192,190,5,9
648,201,123,0,10
649,203,51,46,11
650,169,62,48,12
651,173,37,79,13
652,131,2,77,14
